"AÑO","FECHA","DIA","HORA","AREA","DIRECCION HECHO","CONTROLES DE TRANSITO","BARRIO HECHO","CLASE DE ACCIDENTE","CLASE DE SERVICIO","GRAVEDAD DEL ACCIDENTE","CLASE DE VEHICULO","Cordenada Geografica "
"2,023","2023/01/14","sabado","00:00:00","URBANA","CARRERA 40 # 25-08","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.186519 4.083989)"
"2,023","2023/01/14","sabado","15:50:00","URBANA","CARRERA 25 CALLE 40","VERTICAL","COMUNA 5","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.199516 4.073665)"
"2,023","2023/01/15","domingo","16:27:00","URBANA","TRANSVERSAL 12 CALLE 5 # 114","SEMAFORO","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","CAMIONETA","POINT (-76.189423 4.100123)"
"2,023","2023/01/16","lunes","21:30:00","URBANA","CALLE 24 CARRERA 15","NO INFORMA","RUBEN CRUZ","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.203364 4.090987)"
"2,023","2023/01/16","lunes","11:00:00","URBANA","CALLE 23 CARERRA 25","VERTICAL","COMUNA 4","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.197253 4.087862)"
"2,023","2023/01/19","jueves","18:40:00","URBANA","TRANSVERSAL 12 PUENTE DE MODAS","NO INFORMA","SANTA RITA DEL RIO","CHOQUE","NO INFORMA","CON HERIDOS","CAMIONETA","POINT (-76.189423 4.100123)"
"2,023","2023/01/20","viernes","08:30:00","URBANA","CARRERA 23 CALLE 30A","NO INFORMA","SAJONIA","CHOQUE","PUBLICO","CON HERIDOS","AUTOMOVIL","POINT (-76.200019 4.081466)"
"2,023","2023/01/22","domingo","02:15:00","URBANA","CALLE 25 # 35-44","VERTICAL","ALVERNIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189458 4.084446)"
"2,023","2023/01/22","domingo","16:20:00","URBANA","CALLE 25 CARRERA 3 OESTE","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.213451 4.092843)"
"2,023","2023/01/22","domingo","19:40:00","URBANA","CARRERA 40 CALLE 30A","NO INFORMA","MIRAFLORES","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.188199 4.078092)"
"2,023","2023/01/23","lunes","18:05:00","URBANA","TRANSVERSAL CARRERA 28B","SEMAFORO","SANTA RITA DEL RIO","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.192522 4.093585)"
"2,023","2023/01/25","miercoles","06:30:00","URBANA","CALLE 25 CARRERA 22","SEMAFORO","CENTRO","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.199945 4.086614)"
"2,023","2023/01/25","miercoles","12:20:00","URBANA","CALLE 27 CARERRA 37","VERTICAL","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","MOTOCICLETA","POINT (-76.188649 4.082816)"
"2,023","2023/01/29","domingo","17:40:00","URBANA","TRANSVERSAL 12 CARRERA 28B","NO INFORMA","No informa","CHOQUE","PUBLICO","CON HERIDOS","BUS","POINT (-76.192641 4.101851)"
"2,023","2023/01/30","lunes","18:00:00","URBANA","CALLE 25 ENTRE CARRERA 17 Y 16","NO INFORMA","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.203512 4.088284)"
"2,023","2023/01/31","martes","09:05:00","URBANA","TRANSVERSAL 12 # 34-9A45","VERTICAL","TERMINAL DE TRANSPORTE","CHOQUE","PUBLICO","SOLO DA„OS","AUTOMOVIL","POINT (-76.203018 4.095381)"
"2,023","2023/01/31","martes","12:30:00","URBANA","CALLE 26 CARRERA 38A","NO INFORMA","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","CAMIONETA","POINT (-76.211365 4.088033)"
"2,023","2023/02/01","miercoles","04:47:00","URBANA","PARQUEADERO TERMINAL DE TRANSPORTES","NO INFORMA","TERMINAL DE TRANSPORTE","CHOQUE","PUBLICO","SOLO DA„OS","MICROBUS","POINT (-76.177918 4.09854)"
"2,023","2023/02/02","jueves","11:48:00","URBANA","CALLE 25 # 22-27","SEMAFORO","CENTRO","CHOQUE","PUBLICO","CON HERIDOS","AUTOMOVIL","POINT (-76.199715 4.086702)"
"2,023","2023/02/02","jueves","21:10:00","URBANA","TRANSVERSAL 12 PUENTE RIO TULUA","HORIZONTALES","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189423 4.100123)"
"2,023","2023/02/03","viernes","11:00:00","URBANA","CARRERA 30 CALLE 21","SEMAFORO","No informa","CHOQUE","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.19287 4.088597)"
"2,023","2023/02/03","viernes","21:00:00","URBANA","CALLE 27 CARRERA 26","SEMAFORO","CENTRO","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.197114 4.084248)"
"2,023","2023/02/04","sabado","19:10:00","URBANA","CARRERA 22 # 8-45","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.202821 4.097957)"
"2,023","2023/02/04","sabado","23:00:00","URBANA","TRANSVERSAL 12 CALLE 26C3","NO INFORMA","COMUNA 6","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189423 4.100123)"
"2,023","2023/02/05","domingo","03:10:00","URBANA","CALLE 25 CARERRA 10","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.207205 4.092464)"
"2,023","2023/02/05","domingo","07:00:00","URBANA","CARRERA 40 FRENTE CENTRO COMERCIAL TULUA","VERTICAL","COMUNA 2","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.190448 4.073346)"
"2,023","2023/02/05","domingo","12:45:00","URBANA","CARRERA 9 CALLE 24","NINGUNO","EL PORVENIR","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.207522 4.093477)"
"2,023","2023/02/05","domingo","13:20:00","RURAL","VIA TULUA LA MARINA +KM9","NO INFORMA","LA ROCHELA","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.140337 4.076701)"
"2,023","2023/02/06","lunes","09:30:00","RURAL","CARERRA 23 CALLE 31","NO INFORMA","SAJONIA","CHOQUE","PUBLICO","SOLO DA„OS","AUTOMOVIL","POINT (-76.200138 4.080899)"
"2,023","2023/02/06","lunes","15:00:00","URBANA","CARRERA 34 CALLE 24","VERTICAL","COMUNA 2","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.190419 4.085609)"
"2,023","2023/02/06","lunes","14:30:00","URBANA","CARRERA 40 CALLE 28","NO INFORMA","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","MOTOCICLETA","POINT (-76.186686 4.081484)"
"2,023","2023/02/07","martes","09:46:00","URBANA","CALLE 25 CARRERA 32A","NO INFORMA","CESPEDES","ATROPELLO","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.192284 4.085102)"
"2,023","2023/02/09","jueves","22:15:00","URBANA","CARRERA 27 CALLE 29","SEMAFORO","CENTRO","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.196617 4.082316)"
"2,023","2023/02/11","sabado","06:10:00","URBANA","CARRERA 22 TRANSVERSAL 12","SEMAFORO","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.201856 4.096575)"
"2,023","2023/02/11","sabado","23:15:00","URBANA","CARRERA 10 FRENTE RESTAURANTE SANTA LUCIA","NO INFORMA","COMUNA 2","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.182475 4.086846)"
"2,023","2023/02/12","domingo","00:17:00","URBANA","CALLE 22 CARRERA 26","SEMAFORO","COMUNA 4","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.196312 4.088564)"
"2,023","2023/02/12","domingo","14:30:00","URBANA","CARRERA 33 CALLE 27","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.191792 4.083412)"
"2,023","2023/02/12","domingo","22:20:00","URBANA","CALLE 27 CARRERA 34","SEMAFORO","COMUNA 2","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.191002 4.083259)"
"2,023","2023/02/14","martes","10:30:00","URBANA","CALLE 26A CARRERA 15","NO INFORMA","LA ESPERANZA","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.206159 4.088191)"
"2,023","2023/02/14","martes","16:30:00","URBANA","CALLE 21 CARRERA 32A","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.191764 4.087748)"
"2,023","2023/02/15","miercoles","17:55:00","URBANA","CARRERA 40 CALLE 13","SEMAFORO","ESTAMBUL","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.17881 4.092184)"
"2,023","2023/02/16","jueves","11:00:00","URBANA","CARRERA 33 CALLE 29","NO INFORMA","VICTORIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.192694 4.081073)"
"2,023","2023/02/17","viernes","15:20:00","URBANA","CARRERA 35 CALLE 33","VERTICAL","VICTORIA","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.191679 4.077414)"
"2,023","2023/02/17","viernes","20:00:00","URBANA","CARRERA 30 CALLE 31","VERTICAL","VICTORIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.194901 4.0802)"
"2,023","2023/02/20","lunes","03:40:00","URBANA","VIA TULUA RIO FRIO CALLE 27 # 1-99","NO INFORMA","COMUNA 6","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.201618 4.087311)"
"2,023","2023/02/20","lunes","16:00:00","URBANA","CARRERA  17 CALLE 9C","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.207987 4.097595)"
"2,023","2023/02/23","jueves","14:28:00","URBANA","CARRERA 33 CALLE 17","VERTICAL","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.200598 4.09159)"
"2,023","2023/02/23","jueves","20:07:00","URBANA","CARERRA 40 # 26-56","SEMAFORO","SAN VICENTE","CHOQUE","PARTICULAR","SOLO DA„OS","CAMPERO","POINT (-76.186735 4.08272)"
"2,023","2023/02/24","viernes","12:48:00","URBANA","CALLE 13 CARRERA 2","VERTICAL","COMUNA 7","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.187311 4.092843)"
"2,023","2023/02/26","domingo","06:10:00","URBANA","CARRERA 34 CALLE 33","VERTICAL","VICTORIA","CHOQUE","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.192995 4.078019)"
"2,023","2023/02/25","sabado","20:10:00","URBANA","CALLE 13 CARRERA 50 + 90MTS","NO INFORMA","LA CRUZ","CHOQUE","PARTICULAR","CON HERIDOS","BICICLETA","POINT (-76.171745 4.089242)"
"2,023","2023/02/26","domingo","14:00:00","URBANA","CARRERA 23A CALLE 6","NO INFORMA","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.206369 4.100175)"
"2,023","2023/02/27","lunes","20:00:00","URBANA","CALLE 21 CARRERA 23","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.198517 4.08983)"
"2,023","2023/02/27","lunes","00:00:00","URBANA","CARRERA 40 FRENTE RANCHO PANORAMA","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.177198 4.094367)"
"2,023","2023/02/28","martes","14:45:00","URBANA","CARRERA 24 CALLE 19","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.197923 4.090939)"
"2,023","2023/02/28","martes","15:00:00","URBANA","CARRERA 28 ENTRE 24 Y 25","NO INFORMA","No informa","ATROPELLO","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.195379 4.085831)"
"2,023","2023/03/01","miercoles","09:50:00","URBANA","TRANSVERSAL 12 CALLE 15","HORIZONTALES","ALAMEDA","CHOQUE","PUBLICO","CON HERIDOS","AUTOMOVIL","POINT (-76.189423 4.100123)"
"2,023","2023/03/02","jueves","17:40:00","URBANA","TRANSVERSAL 12 CALLE 26A","NINGUNO","EL BOLIVAR","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189423 4.100123)"
"2,023","2023/03/03","viernes","13:40:00","RURAL","VIA TULUA-RIOFRIO CRUCE SAUZAL","NO INFORMA","ZONA RURAL","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.176842 4.075081)"
"2,023","2023/03/04","sabado","13:00:00","URBANA","CARRERA 24 ENTRE CALLE 4B Y 5B","HORIZONTALES","ALAMEDA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.20231 4.101453)"
"2,023","2023/03/05","domingo","01:00:00","URBANA","CALLE 21 CARRERA 28A","NO INFORMA","VIILA NUEVA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.194261 4.089729)"
"2,023","2023/03/06","lunes","14:00:00","URBANA","CARERRA 18 CALLE 5B","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.206263 4.100901)"
"2,023","2023/03/07","martes","14:50:00","URBANA","CALLE 26 # 37-80","NO INFORMA","ALVERNIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.188296 4.083644)"
"2,023","2023/03/07","martes","16:40:00","URBANA","CARRERA 3 CALLE 22","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.211345 4.096777)"
"2,023","2023/03/08","miercoles","07:30:00","URBANA","CARRERA 21 CALLE 30A","VERTICAL","No informa","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.201594 4.08184)"
"2,023","2023/03/08","miercoles","08:25:00","URBANA","CARRERA 26 # 31-39","NO INFORMA","SAJONIA","CHOQUE","PUBLICO","CON HERIDOS","CAMIONETA","POINT (-76.197708 4.080377)"
"2,023","2023/03/08","miercoles","10:30:00","URBANA","CALLE 27 CARRERA 31","NO INFORMA","CESPEDES","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.193723 4.08376)"
"2,023","2023/03/08","miercoles","12:10:00","URBANA","CARRERA 27 EDS LOS PROFESIONALES","NO INFORMA","AVENIDA CALI","CHOQUE","PARTICULAR","SOLO DA„OS","CAMIONETA","POINT (-76.196476 4.083175)"
"2,023","2023/03/08","miercoles","13:20:00","URBANA","CALLE 40 CARRERA 33","VERTICAL","FATIMA","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.194155 4.073019)"
"2,023","2023/03/10","viernes","13:30:00","URBANA","CARRERA 34 CALLE 22","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.192256 4.07998)"
"2,023","2023/03/10","viernes","21:00:00","URBANA","CALLE 38 CARRERA 22","VERTICAL","SAJONIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.201582 4.077316)"
"2,023","2023/03/10","viernes","23:50:00","URBANA","TRANSVERSAL 12 CALLE 6","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189423 4.100123)"
"2,023","2023/03/11","sabado","14:25:00","URBANA","CALLE 22 CARRERA 26","SEMAFORO","TOMAS URIBE","CHOQUE","PARTICULAR","SOLO DA„OS","CAMPERO","POINT (-76.196312 4.088564)"
"2,023","2023/03/13","lunes","09:00:00","URBANA","CALLE 13 # 39-03","HORIZONTALES","MORALES","CHOQUE","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.181396 4.092538)"
"2,023","2023/03/13","lunes","10:20:00","URBANA","CARRERA 34 CALLE 28","VERTICAL","FRANCISCANOS","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.191298 4.082456)"
"2,023","2023/03/16","jueves","19:00:00","URBANA","VIA TULUA LA MARINA KM 3+600","NO INFORMA","VEREDAL","CHOQUE","PARTICULAR","CON HERIDOS","BICICLETA","POINT (-76.140337 4.076701)"
"2,023","2023/03/18","sabado","08:10:00","URBANA","TRANSVERSAL 12 39A-45 TERMINAL TRANSPORTE INTERIOR","NO INFORMA","TERMINAL DE TRANSPORTE","CHOQUE","PUBLICO","SOLO DA„OS","BUSETA","POINT (-76.17775 4.097797)"
"2,023","2023/03/18","sabado","11:30:00","URBANA","CARRERA 26 CALLE 31","VERTICAL","LA MERCED","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.197723 4.080715)"
"2,023","2023/03/18","sabado","21:30:00","URBANA","CALLE 26A CARRERA 17","NO INFORMA","LAS DELICIAS","CHOQUE","PARTICULAR","SOLO DA„OS","CAMPERO","POINT (-76.204601 4.08703)"
"2,023","2023/03/19","domingo","02:40:00","URBANA","CARRERA 26 CALLE 36","VERTICAL","SAJONIA","CHOQUE","PARTICULAR","SOLO DA„OS","MOTOCICLETA","POINT (-76.198445 4.076625)"
"2,023","2023/03/19","domingo","07:40:00","URBANA","CARRERA 40 CALLE 48","NO INFORMA","No informa","ATROPELLO","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.196861 4.064075)"
"2,023","2023/03/20","lunes","02:20:00","URBANA","CALLE 26 CARERRA 22","NO INFORMA","No informa","CHOQUE","PUBLICO","CON HERIDOS","AUTOMOVIL","POINT (-76.210176 4.087819)"
"2,023","2023/03/20","lunes","08:10:00","URBANA","CALLE 6A FRENTE 22A16","NINGUNO","VILLA COLOMBIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.200457 4.099415)"
"2,023","2023/03/20","lunes","14:40:00","URBANA","CALLE 36 CARRERA 34","VERTICAL","FATIMA","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.193612 4.076108)"
"2,023","2023/03/20","lunes","16:05:00","URBANA","CARRERA 26 36-08","NO INFORMA","SALESIANO","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.198559 4.076588)"
"2,023","2023/03/21","martes","06:55:00","URBANA","CARRERA 27 CALLE 39","HORIZONTALES","PRINCIPE","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.197982 4.074102)"
"2,023","2023/03/22","miercoles","13:35:00","URBANA","CALLE 27 CARRERA 25","SEMAFORO","CENTRO","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.197956 4.084419)"
"2,023","2023/03/23","jueves","16:00:00","URBANA","CARRERA 36 CALLE 32","HORIZONTALES","COMUNA 1","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.190795 4.077611)"
"2,023","2023/03/23","jueves","17:30:00","URBANA","CALLE 32 CARERRA 36 Y 37","AGENTE","COMUNA 1","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.289383 3.527929)"
"2,023","2023/03/24","viernes","09:35:00","URBANA","CARRERA 20 25-87","HORIZONTALES","COMUNA 4","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.20141 4.086405)"
"2,023","2023/03/25","sabado","12:45:00","URBANA","CARRERA 36  CALLE 28","VERTICAL","COMUNA 2","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189658 4.082114)"
"2,023","2023/03/25","sabado","16:45:00","URBANA","CALLE 26 CARRERA 30","SEMAFORO","CENTRO","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.194931 4.08469)"
"2,023","2023/03/26","domingo","23:30:00","RURAL","CALLE 27W VIA NARI„O","VERTICAL","FARFAN","ATROPELLO","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.211616 4.086879)"
"2,023","2023/03/27","lunes","12:30:00","URBANA","CALLE 26A FRENTE 16-27","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.203859 4.086599)"
"2,023","2023/03/27","lunes","01:05:00","URBANA","VIA TULUA NARI„O CALLE 27 8 OESTE","VERTICAL","COMUNA 6","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.196178 4.084063)"
"2,023","2023/03/27","lunes","23:30:00","URBANA","CARRERA 40 FRENTE AL 27-87","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.188386 4.077806)"
"2,023","2023/03/29","miercoles","10:20:00","URBANA","CARRERA 34 CALLE 29","VERTICAL","COMUNA 1","CAIDA OCUPANTE","PUBLICO","CON HERIDOS","CAMIONETA","POINT (-76.191955 4.080715)"
"2,023","2023/03/29","miercoles","10:50:00","URBANA","CALLE 26 38-02","NO INFORMA","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","CAMIONETA","POINT (-76.187982 4.083364)"
"2,023","2023/03/30","jueves","06:45:00","URBANA","CARRERA 35 CALLE 28","VERTICAL","VICTORIA","CHOQUE","PARTICULAR","CON HERIDOS","CAMPERO","POINT (-76.190457 4.082288)"
"2,023","2023/03/30","jueves","07:20:00","URBANA","CALLE 13 CALLEJON MORALES","NO INFORMA","MORALITO","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.186988 4.094432)"
"2,023","2023/03/30","jueves","07:40:00","URBANA","CARRERA 40 42-50","SEMAFORO","VILLA DEL RIO","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.195978 4.065909)"
"2,023","2023/03/30","jueves","16:45:00","URBANA","CARRERA 20 CALLE 5B","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.204366 4.100608)"
"2,023","2023/03/30","jueves","22:40:00","URBANA","CALLE 27 CARRERA 15","HORIZONTALES","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.207027 4.086071)"
"2,023","2023/03/31","viernes","02:41:00","URBANA","CARRERA 46 CALLE 54","NO INFORMA","No informa","ATROPELLO","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.191499 4.089869)"
"2,023","2023/03/31","viernes","10:50:00","URBANA","CALLE 29 CARRERA 37","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.189421 4.079717)"
"2,023","2023/03/31","viernes","12:11:00","URBANA","TRANSVERSAL 20 CALLE 3","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.200618 4.103851)"
"2,023","2023/04/01","sabado","07:00:00","URBANA","CARRERA 40 13-63","NO INFORMA","COMUNA 3","CHOQUE","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.178744 4.091357)"
"2,023","2023/04/01","sabado","14:00:00","URBANA","CARRERA 2 # 20-03","HORIZONTALES","LAS VERANERAS","CHOQUE","PUBLICO","CON HERIDOS","CAMPERO","POINT (-76.213172 4.096283)"
